Year,Season,Site,Scenario,Habitat
1915,Apr-Jun,Tinaroo Falls,PD,11.13
1916,Apr-Jun,Tinaroo Falls,PD,14.49
1917,Apr-Jun,Tinaroo Falls,PD,21.55
1918,Apr-Jun,Tinaroo Falls,PD,12.49
1919,Apr-Jun,Tinaroo Falls,PD,11.86
1920,Apr-Jun,Tinaroo Falls,PD,16.17
1921,Apr-Jun,Tinaroo Falls,PD,23.72
1922,Apr-Jun,Tinaroo Falls,PD,13.88
1923,Apr-Jun,Tinaroo Falls,PD,14.45
1924,Apr-Jun,Tinaroo Falls,PD,21.45
1925,Apr-Jun,Tinaroo Falls,PD,13.63
1926,Apr-Jun,Tinaroo Falls,PD,21.08
1927,Apr-Jun,Tinaroo Falls,PD,15.65
1928,Apr-Jun,Tinaroo Falls,PD,22.55
1929,Apr-Jun,Tinaroo Falls,PD,16.88
1930,Apr-Jun,Tinaroo Falls,PD,12.09
1931,Apr-Jun,Tinaroo Falls,PD,15.14
1932,Apr-Jun,Tinaroo Falls,PD,18.51
1933,Apr-Jun,Tinaroo Falls,PD,25.68
1934,Apr-Jun,Tinaroo Falls,PD,15.14
1935,Apr-Jun,Tinaroo Falls,PD,24.12
1936,Apr-Jun,Tinaroo Falls,PD,13.83
1937,Apr-Jun,Tinaroo Falls,PD,13.84
1938,Apr-Jun,Tinaroo Falls,PD,23.34
1939,Apr-Jun,Tinaroo Falls,PD,26.48
1940,Apr-Jun,Tinaroo Falls,PD,24.14
1941,Apr-Jun,Tinaroo Falls,PD,13.35
1942,Apr-Jun,Tinaroo Falls,PD,16.26
1943,Apr-Jun,Tinaroo Falls,PD,15.07
1944,Apr-Jun,Tinaroo Falls,PD,22.48
1945,Apr-Jun,Tinaroo Falls,PD,17.99
1946,Apr-Jun,Tinaroo Falls,PD,11.13
1947,Apr-Jun,Tinaroo Falls,PD,13.3
1948,Apr-Jun,Tinaroo Falls,PD,17.36
1949,Apr-Jun,Tinaroo Falls,PD,21.52
1950,Apr-Jun,Tinaroo Falls,PD,17.29
1951,Apr-Jun,Tinaroo Falls,PD,11.32
1952,Apr-Jun,Tinaroo Falls,PD,19.89
1953,Apr-Jun,Tinaroo Falls,PD,12.86
1954,Apr-Jun,Tinaroo Falls,PD,25.28
1955,Apr-Jun,Tinaroo Falls,PD,24.35
1956,Apr-Jun,Tinaroo Falls,PD,21.27
1957,Apr-Jun,Tinaroo Falls,PD,24.38
1958,Apr-Jun,Tinaroo Falls,PD,26.25
1959,Apr-Jun,Tinaroo Falls,PD,15.94
1960,Apr-Jun,Tinaroo Falls,PD,11.16
1961,Apr-Jun,Tinaroo Falls,PD,18.04
1962,Apr-Jun,Tinaroo Falls,PD,21.28
1963,Apr-Jun,Tinaroo Falls,PD,23.11
1964,Apr-Jun,Tinaroo Falls,PD,19.39
1965,Apr-Jun,Tinaroo Falls,PD,11.22
1966,Apr-Jun,Tinaroo Falls,PD,28.43
1967,Apr-Jun,Tinaroo Falls,PD,16.85
1968,Apr-Jun,Tinaroo Falls,PD,12.88
1969,Apr-Jun,Tinaroo Falls,PD,13.32
1970,Apr-Jun,Tinaroo Falls,PD,19.32
1971,Apr-Jun,Tinaroo Falls,PD,26.97
1972,Apr-Jun,Tinaroo Falls,PD,21.72
1973,Apr-Jun,Tinaroo Falls,PD,25.3
1974,Apr-Jun,Tinaroo Falls,PD,22.63
1975,Apr-Jun,Tinaroo Falls,PD,22.48
1976,Apr-Jun,Tinaroo Falls,PD,20.9
1977,Apr-Jun,Tinaroo Falls,PD,11.65
1978,Apr-Jun,Tinaroo Falls,PD,28.58
1979,Apr-Jun,Tinaroo Falls,PD,13.54
1980,Apr-Jun,Tinaroo Falls,PD,24.01
1981,Apr-Jun,Tinaroo Falls,PD,19.3
1982,Apr-Jun,Tinaroo Falls,PD,14.56
1983,Apr-Jun,Tinaroo Falls,PD,12.37
1984,Apr-Jun,Tinaroo Falls,PD,20.93
1985,Apr-Jun,Tinaroo Falls,PD,19.46
1986,Apr-Jun,Tinaroo Falls,PD,11.86
1987,Apr-Jun,Tinaroo Falls,PD,11.87
1988,Apr-Jun,Tinaroo Falls,PD,23.06
1989,Apr-Jun,Tinaroo Falls,PD,20.38
1990,Apr-Jun,Tinaroo Falls,PD,23
1991,Apr-Jun,Tinaroo Falls,PD,11.12
1992,Apr-Jun,Tinaroo Falls,PD,11.44
1993,Apr-Jun,Tinaroo Falls,PD,12.91
1994,Apr-Jun,Tinaroo Falls,PD,13.66
1995,Apr-Jun,Tinaroo Falls,PD,22.37
1996,Apr-Jun,Tinaroo Falls,PD,18.33
1997,Apr-Jun,Tinaroo Falls,PD,13.75
1998,Apr-Jun,Tinaroo Falls,PD,28.08
1999,Apr-Jun,Tinaroo Falls,PD,27.71
2000,Apr-Jun,Tinaroo Falls,PD,24.97
2001,Apr-Jun,Tinaroo Falls,PD,11.08
2002,Apr-Jun,Tinaroo Falls,PD,10.98
2003,Apr-Jun,Tinaroo Falls,PD,20.15
2004,Apr-Jun,Tinaroo Falls,PD,16.2
2005,Apr-Jun,Tinaroo Falls,PD,16.07
2006,Apr-Jun,Tinaroo Falls,PD,16.26
2007,Apr-Jun,Tinaroo Falls,PD,25.21
2008,Apr-Jun,Tinaroo Falls,PD,19.99
2009,Apr-Jun,Tinaroo Falls,PD,21.04
2010,Apr-Jun,Tinaroo Falls,PD,28.16
2011,Apr-Jun,Tinaroo Falls,PD,21.96
2012,Apr-Jun,Tinaroo Falls,PD,17.4
2013,Apr-Jun,Tinaroo Falls,PD,21.46
2014,Apr-Jun,Tinaroo Falls,PD,18.15
2015,Apr-Jun,Tinaroo Falls,PD,12.65
2016,Apr-Jun,Tinaroo Falls,PD,14.54
2017,Apr-Jun,Tinaroo Falls,PD,20.56
2018,Apr-Jun,Tinaroo Falls,PD,24.05
1889,Apr-Jun,Tinaroo Falls,FE,2.94
1890,Apr-Jun,Tinaroo Falls,FE,17.31
1891,Apr-Jun,Tinaroo Falls,FE,7.82
1892,Apr-Jun,Tinaroo Falls,FE,5.38
1893,Apr-Jun,Tinaroo Falls,FE,14.89
1894,Apr-Jun,Tinaroo Falls,FE,13.1
1895,Apr-Jun,Tinaroo Falls,FE,7.63
1896,Apr-Jun,Tinaroo Falls,FE,7.7
1897,Apr-Jun,Tinaroo Falls,FE,0
1898,Apr-Jun,Tinaroo Falls,FE,2.26
1899,Apr-Jun,Tinaroo Falls,FE,6.18
1900,Apr-Jun,Tinaroo Falls,FE,0
1901,Apr-Jun,Tinaroo Falls,FE,1.43
1902,Apr-Jun,Tinaroo Falls,FE,0
1903,Apr-Jun,Tinaroo Falls,FE,20.93
1904,Apr-Jun,Tinaroo Falls,FE,6.21
1905,Apr-Jun,Tinaroo Falls,FE,0
1906,Apr-Jun,Tinaroo Falls,FE,0.57
1907,Apr-Jun,Tinaroo Falls,FE,2.04
1908,Apr-Jun,Tinaroo Falls,FE,0.34
1909,Apr-Jun,Tinaroo Falls,FE,14.58
1910,Apr-Jun,Tinaroo Falls,FE,15.78
1911,Apr-Jun,Tinaroo Falls,FE,5.39
1912,Apr-Jun,Tinaroo Falls,FE,21.6
1913,Apr-Jun,Tinaroo Falls,FE,1.75
1914,Apr-Jun,Tinaroo Falls,FE,11.13
1915,Apr-Jun,Tinaroo Falls,FE,0.03
1916,Apr-Jun,Tinaroo Falls,FE,0
1917,Apr-Jun,Tinaroo Falls,FE,1.55
1918,Apr-Jun,Tinaroo Falls,FE,0.09
1919,Apr-Jun,Tinaroo Falls,FE,1.58
1920,Apr-Jun,Tinaroo Falls,FE,0
1921,Apr-Jun,Tinaroo Falls,FE,20.13
1922,Apr-Jun,Tinaroo Falls,FE,7.07
1923,Apr-Jun,Tinaroo Falls,FE,9.26
1924,Apr-Jun,Tinaroo Falls,FE,2.67
1925,Apr-Jun,Tinaroo Falls,FE,8.29
1926,Apr-Jun,Tinaroo Falls,FE,5.74
1927,Apr-Jun,Tinaroo Falls,FE,7.06
1928,Apr-Jun,Tinaroo Falls,FE,10.56
1929,Apr-Jun,Tinaroo Falls,FE,14.34
1930,Apr-Jun,Tinaroo Falls,FE,2.26
1931,Apr-Jun,Tinaroo Falls,FE,2.36
1932,Apr-Jun,Tinaroo Falls,FE,1.64
1933,Apr-Jun,Tinaroo Falls,FE,25.49
1934,Apr-Jun,Tinaroo Falls,FE,2.87
1935,Apr-Jun,Tinaroo Falls,FE,2.95
1936,Apr-Jun,Tinaroo Falls,FE,6.9
1937,Apr-Jun,Tinaroo Falls,FE,0.52
1938,Apr-Jun,Tinaroo Falls,FE,3.63
1939,Apr-Jun,Tinaroo Falls,FE,18.84
1940,Apr-Jun,Tinaroo Falls,FE,19.68
1941,Apr-Jun,Tinaroo Falls,FE,7.89
1942,Apr-Jun,Tinaroo Falls,FE,5.64
1943,Apr-Jun,Tinaroo Falls,FE,0
1944,Apr-Jun,Tinaroo Falls,FE,13.92
1945,Apr-Jun,Tinaroo Falls,FE,18.29
1946,Apr-Jun,Tinaroo Falls,FE,1.07
1947,Apr-Jun,Tinaroo Falls,FE,4.62
1948,Apr-Jun,Tinaroo Falls,FE,1.61
1949,Apr-Jun,Tinaroo Falls,FE,0.3
1950,Apr-Jun,Tinaroo Falls,FE,16.09
1951,Apr-Jun,Tinaroo Falls,FE,1.02
1952,Apr-Jun,Tinaroo Falls,FE,3.44
1953,Apr-Jun,Tinaroo Falls,FE,0
1954,Apr-Jun,Tinaroo Falls,FE,0
1955,Apr-Jun,Tinaroo Falls,FE,2.89
1956,Apr-Jun,Tinaroo Falls,FE,10.75
1957,Apr-Jun,Tinaroo Falls,FE,10.05
1958,Apr-Jun,Tinaroo Falls,FE,7.44
1959,Apr-Jun,Tinaroo Falls,FE,4.46
1960,Apr-Jun,Tinaroo Falls,FE,0.07
1961,Apr-Jun,Tinaroo Falls,FE,0
1962,Apr-Jun,Tinaroo Falls,FE,5.42
1963,Apr-Jun,Tinaroo Falls,FE,1.52
1964,Apr-Jun,Tinaroo Falls,FE,0
1965,Apr-Jun,Tinaroo Falls,FE,5.75
1966,Apr-Jun,Tinaroo Falls,FE,15.21
1967,Apr-Jun,Tinaroo Falls,FE,4.06
1968,Apr-Jun,Tinaroo Falls,FE,6.78
1969,Apr-Jun,Tinaroo Falls,FE,0
1970,Apr-Jun,Tinaroo Falls,FE,0.72
1971,Apr-Jun,Tinaroo Falls,FE,16.98
1972,Apr-Jun,Tinaroo Falls,FE,3.23
1973,Apr-Jun,Tinaroo Falls,FE,20.03
1974,Apr-Jun,Tinaroo Falls,FE,8.09
1975,Apr-Jun,Tinaroo Falls,FE,11.48
1976,Apr-Jun,Tinaroo Falls,FE,21.46
1977,Apr-Jun,Tinaroo Falls,FE,3.47
1978,Apr-Jun,Tinaroo Falls,FE,18.44
1979,Apr-Jun,Tinaroo Falls,FE,5.89
1980,Apr-Jun,Tinaroo Falls,FE,0.17
1981,Apr-Jun,Tinaroo Falls,FE,1.91
1982,Apr-Jun,Tinaroo Falls,FE,1.85
1983,Apr-Jun,Tinaroo Falls,FE,1.06
1984,Apr-Jun,Tinaroo Falls,FE,0
1985,Apr-Jun,Tinaroo Falls,FE,0
1986,Apr-Jun,Tinaroo Falls,FE,0.05
1987,Apr-Jun,Tinaroo Falls,FE,0
1988,Apr-Jun,Tinaroo Falls,FE,0
1989,Apr-Jun,Tinaroo Falls,FE,0
1990,Apr-Jun,Tinaroo Falls,FE,19.54
1991,Apr-Jun,Tinaroo Falls,FE,0.05
1992,Apr-Jun,Tinaroo Falls,FE,0.15
1993,Apr-Jun,Tinaroo Falls,FE,0
1994,Apr-Jun,Tinaroo Falls,FE,0.71
1995,Apr-Jun,Tinaroo Falls,FE,0
1996,Apr-Jun,Tinaroo Falls,FE,0
1997,Apr-Jun,Tinaroo Falls,FE,0
1998,Apr-Jun,Tinaroo Falls,FE,23.82
1999,Apr-Jun,Tinaroo Falls,FE,23.85
2000,Apr-Jun,Tinaroo Falls,FE,21.93
2001,Apr-Jun,Tinaroo Falls,FE,11.35
2002,Apr-Jun,Tinaroo Falls,FE,1.91
2003,Apr-Jun,Tinaroo Falls,FE,0
2004,Apr-Jun,Tinaroo Falls,FE,1.89
2005,Apr-Jun,Tinaroo Falls,FE,0
2006,Apr-Jun,Tinaroo Falls,FE,5.64
2007,Apr-Jun,Tinaroo Falls,FE,21.08
2008,Apr-Jun,Tinaroo Falls,FE,20.1
2009,Apr-Jun,Tinaroo Falls,FE,4.93
2010,Apr-Jun,Tinaroo Falls,FE,21.82
2011,Apr-Jun,Tinaroo Falls,FE,6.31
2012,Apr-Jun,Tinaroo Falls,FE,3.92
2013,Apr-Jun,Tinaroo Falls,FE,0
2014,Apr-Jun,Tinaroo Falls,FE,5.47
2015,Apr-Jun,Tinaroo Falls,FE,2.88
2016,Apr-Jun,Tinaroo Falls,FE,2.93
2017,Apr-Jun,Tinaroo Falls,FE,5.82
2018,Apr-Jun,Tinaroo Falls,FE,7.49
1889,Apr-Jun,Mareeba,PD,23.64
1890,Apr-Jun,Mareeba,PD,22.34
1891,Apr-Jun,Mareeba,PD,22.28
1892,Apr-Jun,Mareeba,PD,17.32
1893,Apr-Jun,Mareeba,PD,18.71
1894,Apr-Jun,Mareeba,PD,19.39
1895,Apr-Jun,Mareeba,PD,22.59
1896,Apr-Jun,Mareeba,PD,19.19
1897,Apr-Jun,Mareeba,PD,24.26
1898,Apr-Jun,Mareeba,PD,23.24
1899,Apr-Jun,Mareeba,PD,19.35
1900,Apr-Jun,Mareeba,PD,20.91
1901,Apr-Jun,Mareeba,PD,16.17
1902,Apr-Jun,Mareeba,PD,17.63
1903,Apr-Jun,Mareeba,PD,20.52
1904,Apr-Jun,Mareeba,PD,18.2
1905,Apr-Jun,Mareeba,PD,22.53
1906,Apr-Jun,Mareeba,PD,22.11
1907,Apr-Jun,Mareeba,PD,22.86
1908,Apr-Jun,Mareeba,PD,19.35
1909,Apr-Jun,Mareeba,PD,21.68
1910,Apr-Jun,Mareeba,PD,21.03
1911,Apr-Jun,Mareeba,PD,16.84
1912,Apr-Jun,Mareeba,PD,24.39
1913,Apr-Jun,Mareeba,PD,23.22
1914,Apr-Jun,Mareeba,PD,13.87
1915,Apr-Jun,Mareeba,PD,14.82
1916,Apr-Jun,Mareeba,PD,16.93
1917,Apr-Jun,Mareeba,PD,21.8
1918,Apr-Jun,Mareeba,PD,13.66
1919,Apr-Jun,Mareeba,PD,15.48
1920,Apr-Jun,Mareeba,PD,16.01
1921,Apr-Jun,Mareeba,PD,21.84
1922,Apr-Jun,Mareeba,PD,15.43
1923,Apr-Jun,Mareeba,PD,18.98
1924,Apr-Jun,Mareeba,PD,22.84
1925,Apr-Jun,Mareeba,PD,16.26
1926,Apr-Jun,Mareeba,PD,19.43
1927,Apr-Jun,Mareeba,PD,18.81
1928,Apr-Jun,Mareeba,PD,23.18
1929,Apr-Jun,Mareeba,PD,19.74
1930,Apr-Jun,Mareeba,PD,17.16
1931,Apr-Jun,Mareeba,PD,19.07
1932,Apr-Jun,Mareeba,PD,16.14
1933,Apr-Jun,Mareeba,PD,27.33
1934,Apr-Jun,Mareeba,PD,18.35
1935,Apr-Jun,Mareeba,PD,19.75
1936,Apr-Jun,Mareeba,PD,18.02
1937,Apr-Jun,Mareeba,PD,19.36
1938,Apr-Jun,Mareeba,PD,22.71
1939,Apr-Jun,Mareeba,PD,25.85
1940,Apr-Jun,Mareeba,PD,23.52
1941,Apr-Jun,Mareeba,PD,19.58
1942,Apr-Jun,Mareeba,PD,20.93
1943,Apr-Jun,Mareeba,PD,18.17
1944,Apr-Jun,Mareeba,PD,22.28
1945,Apr-Jun,Mareeba,PD,21.34
1946,Apr-Jun,Mareeba,PD,15.31
1947,Apr-Jun,Mareeba,PD,18.32
1948,Apr-Jun,Mareeba,PD,15.51
1949,Apr-Jun,Mareeba,PD,16.97
1950,Apr-Jun,Mareeba,PD,21.64
1951,Apr-Jun,Mareeba,PD,16.55
1952,Apr-Jun,Mareeba,PD,21.09
1953,Apr-Jun,Mareeba,PD,17.04
1954,Apr-Jun,Mareeba,PD,20.63
1955,Apr-Jun,Mareeba,PD,20.81
1956,Apr-Jun,Mareeba,PD,19.95
1957,Apr-Jun,Mareeba,PD,22.15
1958,Apr-Jun,Mareeba,PD,22.42
1959,Apr-Jun,Mareeba,PD,19.56
1960,Apr-Jun,Mareeba,PD,16.26
1961,Apr-Jun,Mareeba,PD,19.93
1962,Apr-Jun,Mareeba,PD,18.37
1963,Apr-Jun,Mareeba,PD,19.13
1964,Apr-Jun,Mareeba,PD,19.06
1965,Apr-Jun,Mareeba,PD,15.27
1966,Apr-Jun,Mareeba,PD,22.79
1967,Apr-Jun,Mareeba,PD,19.61
1968,Apr-Jun,Mareeba,PD,17.48
1969,Apr-Jun,Mareeba,PD,17.92
1970,Apr-Jun,Mareeba,PD,19.07
1971,Apr-Jun,Mareeba,PD,21.8
1972,Apr-Jun,Mareeba,PD,19.76
1973,Apr-Jun,Mareeba,PD,25.29
1974,Apr-Jun,Mareeba,PD,20.91
1975,Apr-Jun,Mareeba,PD,20.87
1976,Apr-Jun,Mareeba,PD,21.12
1977,Apr-Jun,Mareeba,PD,16.52
1978,Apr-Jun,Mareeba,PD,24.23
1979,Apr-Jun,Mareeba,PD,16.36
1980,Apr-Jun,Mareeba,PD,20.45
1981,Apr-Jun,Mareeba,PD,18.8
1982,Apr-Jun,Mareeba,PD,13.3
1983,Apr-Jun,Mareeba,PD,16.97
1984,Apr-Jun,Mareeba,PD,18.1
1985,Apr-Jun,Mareeba,PD,18.06
1986,Apr-Jun,Mareeba,PD,13.65
1987,Apr-Jun,Mareeba,PD,15.94
1988,Apr-Jun,Mareeba,PD,19.7
1989,Apr-Jun,Mareeba,PD,20.15
1990,Apr-Jun,Mareeba,PD,21.43
1991,Apr-Jun,Mareeba,PD,15.39
1992,Apr-Jun,Mareeba,PD,13.19
1993,Apr-Jun,Mareeba,PD,18.23
1994,Apr-Jun,Mareeba,PD,17.78
1995,Apr-Jun,Mareeba,PD,17.13
1996,Apr-Jun,Mareeba,PD,16.67
1997,Apr-Jun,Mareeba,PD,19.85
1998,Apr-Jun,Mareeba,PD,26.64
1999,Apr-Jun,Mareeba,PD,25.38
2000,Apr-Jun,Mareeba,PD,22.49
2001,Apr-Jun,Mareeba,PD,16.33
2002,Apr-Jun,Mareeba,PD,15.61
2003,Apr-Jun,Mareeba,PD,21.25
2004,Apr-Jun,Mareeba,PD,19.85
2005,Apr-Jun,Mareeba,PD,18.13
2006,Apr-Jun,Mareeba,PD,20.92
2007,Apr-Jun,Mareeba,PD,23.49
2008,Apr-Jun,Mareeba,PD,21.56
2009,Apr-Jun,Mareeba,PD,21.92
2010,Apr-Jun,Mareeba,PD,25.67
2011,Apr-Jun,Mareeba,PD,18.58
2012,Apr-Jun,Mareeba,PD,16.03
2013,Apr-Jun,Mareeba,PD,16.14
2014,Apr-Jun,Mareeba,PD,20.98
2015,Apr-Jun,Mareeba,PD,15.36
2016,Apr-Jun,Mareeba,PD,19.04
2017,Apr-Jun,Mareeba,PD,19.8
2018,Apr-Jun,Mareeba,PD,23.25
1889,Apr-Jun,Mareeba,FE,16.63
1890,Apr-Jun,Mareeba,FE,19.17
1891,Apr-Jun,Mareeba,FE,17.37
1892,Apr-Jun,Mareeba,FE,2.38
1893,Apr-Jun,Mareeba,FE,14.5
1894,Apr-Jun,Mareeba,FE,17.74
1895,Apr-Jun,Mareeba,FE,16.64
1896,Apr-Jun,Mareeba,FE,11.03
1897,Apr-Jun,Mareeba,FE,15.41
1898,Apr-Jun,Mareeba,FE,15.53
1899,Apr-Jun,Mareeba,FE,13.85
1900,Apr-Jun,Mareeba,FE,8.68
1901,Apr-Jun,Mareeba,FE,1.02
1902,Apr-Jun,Mareeba,FE,11.46
1903,Apr-Jun,Mareeba,FE,20.5
1904,Apr-Jun,Mareeba,FE,13.17
1905,Apr-Jun,Mareeba,FE,14.12
1906,Apr-Jun,Mareeba,FE,11.23
1907,Apr-Jun,Mareeba,FE,13.92
1908,Apr-Jun,Mareeba,FE,4.47
1909,Apr-Jun,Mareeba,FE,16.97
1910,Apr-Jun,Mareeba,FE,17.59
1911,Apr-Jun,Mareeba,FE,8.56
1912,Apr-Jun,Mareeba,FE,22.13
1913,Apr-Jun,Mareeba,FE,13.86
1914,Apr-Jun,Mareeba,FE,6.89
1915,Apr-Jun,Mareeba,FE,0
1916,Apr-Jun,Mareeba,FE,4.19
1917,Apr-Jun,Mareeba,FE,7.72
1918,Apr-Jun,Mareeba,FE,1.27
1919,Apr-Jun,Mareeba,FE,0
1920,Apr-Jun,Mareeba,FE,5.01
1921,Apr-Jun,Mareeba,FE,21.73
1922,Apr-Jun,Mareeba,FE,8.45
1923,Apr-Jun,Mareeba,FE,0
1924,Apr-Jun,Mareeba,FE,9.76
1925,Apr-Jun,Mareeba,FE,11.14
1926,Apr-Jun,Mareeba,FE,7.33
1927,Apr-Jun,Mareeba,FE,12.7
1928,Apr-Jun,Mareeba,FE,11.58
1929,Apr-Jun,Mareeba,FE,18.86
1930,Apr-Jun,Mareeba,FE,4.94
1931,Apr-Jun,Mareeba,FE,3.81
1932,Apr-Jun,Mareeba,FE,1.04
1933,Apr-Jun,Mareeba,FE,24.42
1934,Apr-Jun,Mareeba,FE,11.92
1935,Apr-Jun,Mareeba,FE,7.58
1936,Apr-Jun,Mareeba,FE,15.95
1937,Apr-Jun,Mareeba,FE,11.07
1938,Apr-Jun,Mareeba,FE,14.17
1939,Apr-Jun,Mareeba,FE,22.24
1940,Apr-Jun,Mareeba,FE,18.11
1941,Apr-Jun,Mareeba,FE,11.41
1942,Apr-Jun,Mareeba,FE,11.05
1943,Apr-Jun,Mareeba,FE,2.85
1944,Apr-Jun,Mareeba,FE,15.89
1945,Apr-Jun,Mareeba,FE,21.66
1946,Apr-Jun,Mareeba,FE,0.14
1947,Apr-Jun,Mareeba,FE,0.01
1948,Apr-Jun,Mareeba,FE,6.89
1949,Apr-Jun,Mareeba,FE,2.6
1950,Apr-Jun,Mareeba,FE,19.99
1951,Apr-Jun,Mareeba,FE,1.6
1952,Apr-Jun,Mareeba,FE,10.78
1953,Apr-Jun,Mareeba,FE,2.98
1954,Apr-Jun,Mareeba,FE,9.29
1955,Apr-Jun,Mareeba,FE,9.28
1956,Apr-Jun,Mareeba,FE,18.45
1957,Apr-Jun,Mareeba,FE,14.9
1958,Apr-Jun,Mareeba,FE,12.94
1959,Apr-Jun,Mareeba,FE,11.01
1960,Apr-Jun,Mareeba,FE,1.69
1961,Apr-Jun,Mareeba,FE,4.85
1962,Apr-Jun,Mareeba,FE,11.64
1963,Apr-Jun,Mareeba,FE,3.73
1964,Apr-Jun,Mareeba,FE,9.21
1965,Apr-Jun,Mareeba,FE,8.72
1966,Apr-Jun,Mareeba,FE,18.09
1967,Apr-Jun,Mareeba,FE,9.53
1968,Apr-Jun,Mareeba,FE,9.65
1969,Apr-Jun,Mareeba,FE,1.8
1970,Apr-Jun,Mareeba,FE,7.12
1971,Apr-Jun,Mareeba,FE,16.09
1972,Apr-Jun,Mareeba,FE,10.23
1973,Apr-Jun,Mareeba,FE,22.57
1974,Apr-Jun,Mareeba,FE,13.93
1975,Apr-Jun,Mareeba,FE,15.36
1976,Apr-Jun,Mareeba,FE,20.2
1977,Apr-Jun,Mareeba,FE,9.65
1978,Apr-Jun,Mareeba,FE,20.29
1979,Apr-Jun,Mareeba,FE,8.57
1980,Apr-Jun,Mareeba,FE,12.04
1981,Apr-Jun,Mareeba,FE,7.74
1982,Apr-Jun,Mareeba,FE,5.24
1983,Apr-Jun,Mareeba,FE,0.15
1984,Apr-Jun,Mareeba,FE,3.94
1985,Apr-Jun,Mareeba,FE,3.73
1986,Apr-Jun,Mareeba,FE,0.73
1987,Apr-Jun,Mareeba,FE,1.45
1988,Apr-Jun,Mareeba,FE,10.64
1989,Apr-Jun,Mareeba,FE,8.69
1990,Apr-Jun,Mareeba,FE,22.01
1991,Apr-Jun,Mareeba,FE,3.96
1992,Apr-Jun,Mareeba,FE,0.06
1993,Apr-Jun,Mareeba,FE,0.07
1994,Apr-Jun,Mareeba,FE,0.57
1995,Apr-Jun,Mareeba,FE,1.22
1996,Apr-Jun,Mareeba,FE,2.28
1997,Apr-Jun,Mareeba,FE,2.11
1998,Apr-Jun,Mareeba,FE,22.85
1999,Apr-Jun,Mareeba,FE,22.8
2000,Apr-Jun,Mareeba,FE,22.73
2001,Apr-Jun,Mareeba,FE,14.04
2002,Apr-Jun,Mareeba,FE,2.58
2003,Apr-Jun,Mareeba,FE,14.4
2004,Apr-Jun,Mareeba,FE,5.02
2005,Apr-Jun,Mareeba,FE,10.73
2006,Apr-Jun,Mareeba,FE,10.44
2007,Apr-Jun,Mareeba,FE,21.64
2008,Apr-Jun,Mareeba,FE,20.11
2009,Apr-Jun,Mareeba,FE,13.56
2010,Apr-Jun,Mareeba,FE,24.18
2011,Apr-Jun,Mareeba,FE,15.04
2012,Apr-Jun,Mareeba,FE,10.45
2013,Apr-Jun,Mareeba,FE,3.21
2014,Apr-Jun,Mareeba,FE,13.26
2015,Apr-Jun,Mareeba,FE,2.21
2016,Apr-Jun,Mareeba,FE,1.86
2017,Apr-Jun,Mareeba,FE,13.1
2018,Apr-Jun,Mareeba,FE,16.64
1889,Apr-Jun,Bilwon ROC,PD,20.58
1890,Apr-Jun,Bilwon ROC,PD,17.56
1891,Apr-Jun,Bilwon ROC,PD,19.1
1892,Apr-Jun,Bilwon ROC,PD,13.53
1893,Apr-Jun,Bilwon ROC,PD,15.55
1894,Apr-Jun,Bilwon ROC,PD,16.91
1895,Apr-Jun,Bilwon ROC,PD,18.08
1896,Apr-Jun,Bilwon ROC,PD,14.57
1897,Apr-Jun,Bilwon ROC,PD,20.09
1898,Apr-Jun,Bilwon ROC,PD,20
1899,Apr-Jun,Bilwon ROC,PD,15.08
1900,Apr-Jun,Bilwon ROC,PD,18.25
1901,Apr-Jun,Bilwon ROC,PD,12.89
1902,Apr-Jun,Bilwon ROC,PD,14.96
1903,Apr-Jun,Bilwon ROC,PD,17.8
1904,Apr-Jun,Bilwon ROC,PD,14.51
1905,Apr-Jun,Bilwon ROC,PD,19.56
1906,Apr-Jun,Bilwon ROC,PD,17.4
1907,Apr-Jun,Bilwon ROC,PD,19.07
1908,Apr-Jun,Bilwon ROC,PD,15.28
1909,Apr-Jun,Bilwon ROC,PD,16.8
1910,Apr-Jun,Bilwon ROC,PD,17.33
1911,Apr-Jun,Bilwon ROC,PD,13.21
1912,Apr-Jun,Bilwon ROC,PD,21.29
1913,Apr-Jun,Bilwon ROC,PD,18.12
1914,Apr-Jun,Bilwon ROC,PD,9.89
1915,Apr-Jun,Bilwon ROC,PD,11.13
1916,Apr-Jun,Bilwon ROC,PD,15.08
1917,Apr-Jun,Bilwon ROC,PD,18.48
1918,Apr-Jun,Bilwon ROC,PD,14.18
1919,Apr-Jun,Bilwon ROC,PD,13.69
1920,Apr-Jun,Bilwon ROC,PD,15.3
1921,Apr-Jun,Bilwon ROC,PD,18.73
1922,Apr-Jun,Bilwon ROC,PD,12.29
1923,Apr-Jun,Bilwon ROC,PD,14.51
1924,Apr-Jun,Bilwon ROC,PD,18.69
1925,Apr-Jun,Bilwon ROC,PD,12.99
1926,Apr-Jun,Bilwon ROC,PD,16.24
1927,Apr-Jun,Bilwon ROC,PD,15.87
1928,Apr-Jun,Bilwon ROC,PD,18.83
1929,Apr-Jun,Bilwon ROC,PD,17.89
1930,Apr-Jun,Bilwon ROC,PD,12.05
1931,Apr-Jun,Bilwon ROC,PD,15.82
1932,Apr-Jun,Bilwon ROC,PD,14.2
1933,Apr-Jun,Bilwon ROC,PD,23.11
1934,Apr-Jun,Bilwon ROC,PD,16.91
