Year,Season,Scenario,Site,Habitat
1892,Jul-Sep,FE,Mirani,4.56
1893,Jul-Sep,FE,Mirani,4.22
1894,Jul-Sep,FE,Mirani,11.25
1895,Jul-Sep,FE,Mirani,4.07
1896,Jul-Sep,FE,Mirani,5.92
1897,Jul-Sep,FE,Mirani,6.5
1898,Jul-Sep,FE,Mirani,4.97
1899,Jul-Sep,FE,Mirani,3.76
1900,Jul-Sep,FE,Mirani,6.22
1901,Jul-Sep,FE,Mirani,2.43
1902,Jul-Sep,FE,Mirani,2.02
1903,Jul-Sep,FE,Mirani,3.47
1904,Jul-Sep,FE,Mirani,5.74
1905,Jul-Sep,FE,Mirani,3.67
1906,Jul-Sep,FE,Mirani,8.05
1907,Jul-Sep,FE,Mirani,5.52
1908,Jul-Sep,FE,Mirani,3.31
1909,Jul-Sep,FE,Mirani,4.07
1910,Jul-Sep,FE,Mirani,5.14
1911,Jul-Sep,FE,Mirani,4.06
1912,Jul-Sep,FE,Mirani,9.21
1913,Jul-Sep,FE,Mirani,10.3
1914,Jul-Sep,FE,Mirani,10.62
1915,Jul-Sep,FE,Mirani,9.44
1916,Jul-Sep,FE,Mirani,4.95
1917,Jul-Sep,FE,Mirani,5.58
1918,Jul-Sep,FE,Mirani,6.11
1919,Jul-Sep,FE,Mirani,6.86
1920,Jul-Sep,FE,Mirani,8.2
1921,Jul-Sep,FE,Mirani,5.01
1922,Jul-Sep,FE,Mirani,2.91
1923,Jul-Sep,FE,Mirani,6.05
1924,Jul-Sep,FE,Mirani,8.83
1925,Jul-Sep,FE,Mirani,5.26
1926,Jul-Sep,FE,Mirani,8.61
1927,Jul-Sep,FE,Mirani,4.01
1928,Jul-Sep,FE,Mirani,6.51
1929,Jul-Sep,FE,Mirani,5.79
1930,Jul-Sep,FE,Mirani,10.17
1931,Jul-Sep,FE,Mirani,6.43
1932,Jul-Sep,FE,Mirani,2.96
1933,Jul-Sep,FE,Mirani,1.7
1934,Jul-Sep,FE,Mirani,8.15
1935,Jul-Sep,FE,Mirani,2.71
1936,Jul-Sep,FE,Mirani,12.61
1937,Jul-Sep,FE,Mirani,6.45
1938,Jul-Sep,FE,Mirani,3.45
1939,Jul-Sep,FE,Mirani,4.28
1940,Jul-Sep,FE,Mirani,8.48
1941,Jul-Sep,FE,Mirani,12.2
1942,Jul-Sep,FE,Mirani,12.09
1943,Jul-Sep,FE,Mirani,3.99
1944,Jul-Sep,FE,Mirani,7.02
1945,Jul-Sep,FE,Mirani,6.54
1946,Jul-Sep,FE,Mirani,7.55
1947,Jul-Sep,FE,Mirani,6.25
1948,Jul-Sep,FE,Mirani,6.72
1949,Jul-Sep,FE,Mirani,3.31
1950,Jul-Sep,FE,Mirani,25.53
1951,Jul-Sep,FE,Mirani,5.67
1952,Jul-Sep,FE,Mirani,5.9
1953,Jul-Sep,FE,Mirani,2.02
1954,Jul-Sep,FE,Mirani,7.35
1955,Jul-Sep,FE,Mirani,13.06
1956,Jul-Sep,FE,Mirani,13.54
1957,Jul-Sep,FE,Mirani,3.63
1958,Jul-Sep,FE,Mirani,9.85
1959,Jul-Sep,FE,Mirani,4.08
1960,Jul-Sep,FE,Mirani,6.45
1961,Jul-Sep,FE,Mirani,6.03
1962,Jul-Sep,FE,Mirani,4.01
1963,Jul-Sep,FE,Mirani,9.21
1964,Jul-Sep,FE,Mirani,3.27
1965,Jul-Sep,FE,Mirani,2.79
1966,Jul-Sep,FE,Mirani,2.68
1967,Jul-Sep,FE,Mirani,8.95
1968,Jul-Sep,FE,Mirani,6.07
1969,Jul-Sep,FE,Mirani,4.18
1970,Jul-Sep,FE,Mirani,4.07
1971,Jul-Sep,FE,Mirani,4.03
1972,Jul-Sep,FE,Mirani,6.46
1973,Jul-Sep,FE,Mirani,5.47
1974,Jul-Sep,FE,Mirani,9.73
1975,Jul-Sep,FE,Mirani,5.08
1976,Jul-Sep,FE,Mirani,8.29
1977,Jul-Sep,FE,Mirani,10.06
1978,Jul-Sep,FE,Mirani,3.06
1979,Jul-Sep,FE,Mirani,7.32
1980,Jul-Sep,FE,Mirani,5.12
1981,Jul-Sep,FE,Mirani,7.39
1982,Jul-Sep,FE,Mirani,3.54
1983,Jul-Sep,FE,Mirani,3.59
1984,Jul-Sep,FE,Mirani,2.19
1985,Jul-Sep,FE,Mirani,7.93
1986,Jul-Sep,FE,Mirani,2.93
1987,Jul-Sep,FE,Mirani,4.31
1988,Jul-Sep,FE,Mirani,5.04
1989,Jul-Sep,FE,Mirani,14.91
1990,Jul-Sep,FE,Mirani,12.65
1991,Jul-Sep,FE,Mirani,5.94
1992,Jul-Sep,FE,Mirani,9.64
1993,Jul-Sep,FE,Mirani,3.43
1994,Jul-Sep,FE,Mirani,2.02
1995,Jul-Sep,FE,Mirani,2.02
1996,Jul-Sep,FE,Mirani,2.02
1997,Jul-Sep,FE,Mirani,4.39
1998,Jul-Sep,FE,Mirani,4.98
1999,Jul-Sep,FE,Mirani,6.71
2000,Jul-Sep,FE,Mirani,11.42
2001,Jul-Sep,FE,Mirani,3.13
2002,Jul-Sep,FE,Mirani,3.95
2003,Jul-Sep,FE,Mirani,2.88
2004,Jul-Sep,FE,Mirani,4.65
2005,Jul-Sep,FE,Mirani,4.81
2006,Jul-Sep,FE,Mirani,3.25
2007,Jul-Sep,FE,Mirani,10.29
2008,Jul-Sep,FE,Mirani,4.81
2009,Jul-Sep,FE,Mirani,3.15
2010,Jul-Sep,FE,Mirani,9.46
2011,Jul-Sep,FE,Mirani,11.84
2012,Jul-Sep,FE,Mirani,14.26
2013,Jul-Sep,FE,Mirani,9.13
2014,Jul-Sep,FE,Mirani,3.59
2015,Jul-Sep,FE,Mirani,5.04
2016,Jul-Sep,FE,Mirani,6.3
2017,Jul-Sep,FE,Mirani,5.57
2018,Jul-Sep,FE,Mirani,2
1889,Oct-Dec,FE,Mirani,4.01
1890,Oct-Dec,FE,Mirani,7.43
1891,Oct-Dec,FE,Mirani,6.04
1892,Oct-Dec,FE,Mirani,8.86
1893,Oct-Dec,FE,Mirani,6.71
1894,Oct-Dec,FE,Mirani,4.14
1895,Oct-Dec,FE,Mirani,11.85
1896,Oct-Dec,FE,Mirani,11.85
1897,Oct-Dec,FE,Mirani,10.87
1898,Oct-Dec,FE,Mirani,11.67
1899,Oct-Dec,FE,Mirani,11.66
1900,Oct-Dec,FE,Mirani,11.41
1901,Oct-Dec,FE,Mirani,10.04
1902,Oct-Dec,FE,Mirani,0.43
1903,Oct-Dec,FE,Mirani,3.86
1904,Oct-Dec,FE,Mirani,2.82
1905,Oct-Dec,FE,Mirani,4.01
1906,Oct-Dec,FE,Mirani,3.26
1907,Oct-Dec,FE,Mirani,8.55
1908,Oct-Dec,FE,Mirani,9.46
1909,Oct-Dec,FE,Mirani,7.52
1910,Oct-Dec,FE,Mirani,10.42
1911,Oct-Dec,FE,Mirani,11.83
1912,Oct-Dec,FE,Mirani,2.74
1913,Oct-Dec,FE,Mirani,8.85
1914,Oct-Dec,FE,Mirani,7.89
1915,Oct-Dec,FE,Mirani,8.06
1916,Oct-Dec,FE,Mirani,3.55
1917,Oct-Dec,FE,Mirani,3.44
1918,Oct-Dec,FE,Mirani,10.08
1919,Oct-Dec,FE,Mirani,11.12
1920,Oct-Dec,FE,Mirani,6.85
1921,Oct-Dec,FE,Mirani,6.65
1922,Oct-Dec,FE,Mirani,9.94
1923,Oct-Dec,FE,Mirani,11.52
1924,Oct-Dec,FE,Mirani,5.12
1925,Oct-Dec,FE,Mirani,9.29
1926,Oct-Dec,FE,Mirani,9.34
1927,Oct-Dec,FE,Mirani,2.57
1928,Oct-Dec,FE,Mirani,8.13
1929,Oct-Dec,FE,Mirani,11.85
1930,Oct-Dec,FE,Mirani,7.17
1931,Oct-Dec,FE,Mirani,8.67
1932,Oct-Dec,FE,Mirani,9.67
1933,Oct-Dec,FE,Mirani,6.51
1934,Oct-Dec,FE,Mirani,4.47
1935,Oct-Dec,FE,Mirani,10.7
1936,Oct-Dec,FE,Mirani,7.79
1937,Oct-Dec,FE,Mirani,10.5
1938,Oct-Dec,FE,Mirani,6.4
1939,Oct-Dec,FE,Mirani,9.88
1940,Oct-Dec,FE,Mirani,8.33
1941,Oct-Dec,FE,Mirani,4.24
1942,Oct-Dec,FE,Mirani,3.8
1943,Oct-Dec,FE,Mirani,9.83
1944,Oct-Dec,FE,Mirani,9.15
1945,Oct-Dec,FE,Mirani,5.02
1946,Oct-Dec,FE,Mirani,11.56
1947,Oct-Dec,FE,Mirani,11.47
1948,Oct-Dec,FE,Mirani,11.83
1949,Oct-Dec,FE,Mirani,11.36
1950,Oct-Dec,FE,Mirani,14.07
1951,Oct-Dec,FE,Mirani,11.77
1952,Oct-Dec,FE,Mirani,11.68
1953,Oct-Dec,FE,Mirani,9.96
1954,Oct-Dec,FE,Mirani,4.87
1955,Oct-Dec,FE,Mirani,9.13
1956,Oct-Dec,FE,Mirani,5.32
1957,Oct-Dec,FE,Mirani,10.04
1958,Oct-Dec,FE,Mirani,9.13
1959,Oct-Dec,FE,Mirani,11.55
1960,Oct-Dec,FE,Mirani,11.42
1961,Oct-Dec,FE,Mirani,7.56
1962,Oct-Dec,FE,Mirani,10.9
1963,Oct-Dec,FE,Mirani,9.68
1964,Oct-Dec,FE,Mirani,8.21
1965,Oct-Dec,FE,Mirani,4.23
1966,Oct-Dec,FE,Mirani,2.08
1967,Oct-Dec,FE,Mirani,2.1
1968,Oct-Dec,FE,Mirani,10.68
1969,Oct-Dec,FE,Mirani,6.99
1970,Oct-Dec,FE,Mirani,8.42
1971,Oct-Dec,FE,Mirani,9.72
1972,Oct-Dec,FE,Mirani,11.94
1973,Oct-Dec,FE,Mirani,2.88
1974,Oct-Dec,FE,Mirani,4.5
1975,Oct-Dec,FE,Mirani,3.51
1976,Oct-Dec,FE,Mirani,5.05
1977,Oct-Dec,FE,Mirani,5.99
1978,Oct-Dec,FE,Mirani,6.89
1979,Oct-Dec,FE,Mirani,9.83
1980,Oct-Dec,FE,Mirani,7.29
1981,Oct-Dec,FE,Mirani,6.14
1982,Oct-Dec,FE,Mirani,11.89
1983,Oct-Dec,FE,Mirani,9.14
1984,Oct-Dec,FE,Mirani,8.56
1985,Oct-Dec,FE,Mirani,2.56
1986,Oct-Dec,FE,Mirani,11.56
1987,Oct-Dec,FE,Mirani,2.76
1988,Oct-Dec,FE,Mirani,5.31
1989,Oct-Dec,FE,Mirani,5.4
1990,Oct-Dec,FE,Mirani,8.48
1991,Oct-Dec,FE,Mirani,7.2
1992,Oct-Dec,FE,Mirani,11.54
1993,Oct-Dec,FE,Mirani,2.63
1994,Oct-Dec,FE,Mirani,4.47
1995,Oct-Dec,FE,Mirani,2.11
1996,Oct-Dec,FE,Mirani,3.33
1997,Oct-Dec,FE,Mirani,8.45
1998,Oct-Dec,FE,Mirani,6.6
1999,Oct-Dec,FE,Mirani,3.03
2000,Oct-Dec,FE,Mirani,2.92
2001,Oct-Dec,FE,Mirani,10.91
2002,Oct-Dec,FE,Mirani,11.95
2003,Oct-Dec,FE,Mirani,11.83
2004,Oct-Dec,FE,Mirani,2.41
2005,Oct-Dec,FE,Mirani,3.32
2006,Oct-Dec,FE,Mirani,2.13
2007,Oct-Dec,FE,Mirani,5.28
2008,Oct-Dec,FE,Mirani,10.37
2009,Oct-Dec,FE,Mirani,11.86
2010,Oct-Dec,FE,Mirani,2.64
2011,Oct-Dec,FE,Mirani,7.9
2012,Oct-Dec,FE,Mirani,7.86
2013,Oct-Dec,FE,Mirani,8.89
2014,Oct-Dec,FE,Mirani,8.58
2015,Oct-Dec,FE,Mirani,9.88
2016,Oct-Dec,FE,Mirani,5.18
2017,Oct-Dec,FE,Mirani,3.2
2018,Oct-Dec,FE,Mirani,2.82
1889,Jan-Mar,PD,Sarichs,2.5
1890,Jan-Mar,PD,Sarichs,6.86
1891,Jan-Mar,PD,Sarichs,4.53
1892,Jan-Mar,PD,Sarichs,3.28
1893,Jan-Mar,PD,Sarichs,5.51
1894,Jan-Mar,PD,Sarichs,13.91
1895,Jan-Mar,PD,Sarichs,5.31
1896,Jan-Mar,PD,Sarichs,5.84
1897,Jan-Mar,PD,Sarichs,3.26
1898,Jan-Mar,PD,Sarichs,2.63
1899,Jan-Mar,PD,Sarichs,5.34
1900,Jan-Mar,PD,Sarichs,6.57
1901,Jan-Mar,PD,Sarichs,1.4
1902,Jan-Mar,PD,Sarichs,1.51
1903,Jan-Mar,PD,Sarichs,7.94
1904,Jan-Mar,PD,Sarichs,11.19
1905,Jan-Mar,PD,Sarichs,3.34
1906,Jan-Mar,PD,Sarichs,4.85
1907,Jan-Mar,PD,Sarichs,5.92
1908,Jan-Mar,PD,Sarichs,5.45
1909,Jan-Mar,PD,Sarichs,0.33
1910,Jan-Mar,PD,Sarichs,9
1911,Jan-Mar,PD,Sarichs,1.13
1912,Jan-Mar,PD,Sarichs,3.75
1913,Jan-Mar,PD,Sarichs,10.93
1914,Jan-Mar,PD,Sarichs,0
1915,Jan-Mar,PD,Sarichs,0
1916,Jan-Mar,PD,Sarichs,2.42
1917,Jan-Mar,PD,Sarichs,1.54
1918,Jan-Mar,PD,Sarichs,4.02
1919,Jan-Mar,PD,Sarichs,2.71
1920,Jan-Mar,PD,Sarichs,3.44
1921,Jan-Mar,PD,Sarichs,6.87
1922,Jan-Mar,PD,Sarichs,3.02
1923,Jan-Mar,PD,Sarichs,0.65
1924,Jan-Mar,PD,Sarichs,2.57
1925,Jan-Mar,PD,Sarichs,1.75
1926,Jan-Mar,PD,Sarichs,4.31
1927,Jan-Mar,PD,Sarichs,5.53
1928,Jan-Mar,PD,Sarichs,6.68
1929,Jan-Mar,PD,Sarichs,7.8
1930,Jan-Mar,PD,Sarichs,1.33
1931,Jan-Mar,PD,Sarichs,5.23
1932,Jan-Mar,PD,Sarichs,3.6
1933,Jan-Mar,PD,Sarichs,6.87
1934,Jan-Mar,PD,Sarichs,0
1935,Jan-Mar,PD,Sarichs,0.22
1936,Jan-Mar,PD,Sarichs,3.35
1937,Jan-Mar,PD,Sarichs,1.3
1938,Jan-Mar,PD,Sarichs,2.55
1939,Jan-Mar,PD,Sarichs,0.72
1940,Jan-Mar,PD,Sarichs,5.91
1941,Jan-Mar,PD,Sarichs,4.17
1942,Jan-Mar,PD,Sarichs,9.24
1943,Jan-Mar,PD,Sarichs,3.31
1944,Jan-Mar,PD,Sarichs,0.93
1945,Jan-Mar,PD,Sarichs,4.87
1946,Jan-Mar,PD,Sarichs,4.51
1947,Jan-Mar,PD,Sarichs,2.86
1948,Jan-Mar,PD,Sarichs,0.58
1949,Jan-Mar,PD,Sarichs,0.46
1950,Jan-Mar,PD,Sarichs,15.68
1951,Jan-Mar,PD,Sarichs,4.99
1952,Jan-Mar,PD,Sarichs,6.6
1953,Jan-Mar,PD,Sarichs,2.03
1954,Jan-Mar,PD,Sarichs,0.19
1955,Jan-Mar,PD,Sarichs,0.58
1956,Jan-Mar,PD,Sarichs,7.26
1957,Jan-Mar,PD,Sarichs,10.12
1958,Jan-Mar,PD,Sarichs,4.52
1959,Jan-Mar,PD,Sarichs,5.04
1960,Jan-Mar,PD,Sarichs,3.16
1961,Jan-Mar,PD,Sarichs,2.1
1962,Jan-Mar,PD,Sarichs,8.75
1963,Jan-Mar,PD,Sarichs,0.32
1964,Jan-Mar,PD,Sarichs,0
1965,Jan-Mar,PD,Sarichs,4.88
1966,Jan-Mar,PD,Sarichs,0.43
1967,Jan-Mar,PD,Sarichs,3.99
1968,Jan-Mar,PD,Sarichs,0.55
1969,Jan-Mar,PD,Sarichs,10.32
1970,Jan-Mar,PD,Sarichs,3.63
1971,Jan-Mar,PD,Sarichs,10.66
1972,Jan-Mar,PD,Sarichs,1.45
1973,Jan-Mar,PD,Sarichs,0.11
1974,Jan-Mar,PD,Sarichs,4.77
1975,Jan-Mar,PD,Sarichs,1.33
1976,Jan-Mar,PD,Sarichs,4.5
1977,Jan-Mar,PD,Sarichs,6.12
1978,Jan-Mar,PD,Sarichs,1.11
1979,Jan-Mar,PD,Sarichs,9.21
1980,Jan-Mar,PD,Sarichs,4.38
1981,Jan-Mar,PD,Sarichs,1.13
1982,Jan-Mar,PD,Sarichs,0.22
1983,Jan-Mar,PD,Sarichs,1.94
1984,Jan-Mar,PD,Sarichs,1.22
1985,Jan-Mar,PD,Sarichs,3.59
1986,Jan-Mar,PD,Sarichs,0
1987,Jan-Mar,PD,Sarichs,1.6
1988,Jan-Mar,PD,Sarichs,4.27
1989,Jan-Mar,PD,Sarichs,0.02
1990,Jan-Mar,PD,Sarichs,9.73
1991,Jan-Mar,PD,Sarichs,0.54
1992,Jan-Mar,PD,Sarichs,1.49
1993,Jan-Mar,PD,Sarichs,1.53
1994,Jan-Mar,PD,Sarichs,1.76
1995,Jan-Mar,PD,Sarichs,1.24
1996,Jan-Mar,PD,Sarichs,0.43
1997,Jan-Mar,PD,Sarichs,3.85
1998,Jan-Mar,PD,Sarichs,3.29
1999,Jan-Mar,PD,Sarichs,2.4
2000,Jan-Mar,PD,Sarichs,8.87
2001,Jan-Mar,PD,Sarichs,1.72
2002,Jan-Mar,PD,Sarichs,0.83
2003,Jan-Mar,PD,Sarichs,1.43
2004,Jan-Mar,PD,Sarichs,1.74
2005,Jan-Mar,PD,Sarichs,0.02
2006,Jan-Mar,PD,Sarichs,5.87
2007,Jan-Mar,PD,Sarichs,9.53
2008,Jan-Mar,PD,Sarichs,6.4
2009,Jan-Mar,PD,Sarichs,1.42
2010,Jan-Mar,PD,Sarichs,2.37
2011,Jan-Mar,PD,Sarichs,3.58
2012,Jan-Mar,PD,Sarichs,8.91
2013,Jan-Mar,PD,Sarichs,2.59
2014,Jan-Mar,PD,Sarichs,5.16
2015,Jan-Mar,PD,Sarichs,1.55
2016,Jan-Mar,PD,Sarichs,4.74
2017,Jan-Mar,PD,Sarichs,2.29
2018,Jan-Mar,PD,Sarichs,8.75
1889,Apr-Jun,PD,Sarichs,29.44
1890,Apr-Jun,PD,Sarichs,24.6
1891,Apr-Jun,PD,Sarichs,0.99
1892,Apr-Jun,PD,Sarichs,5.95
1893,Apr-Jun,PD,Sarichs,21.92
1894,Apr-Jun,PD,Sarichs,15.54
1895,Apr-Jun,PD,Sarichs,33.15
1896,Apr-Jun,PD,Sarichs,1.06
1897,Apr-Jun,PD,Sarichs,30.36
1898,Apr-Jun,PD,Sarichs,9.21
1899,Apr-Jun,PD,Sarichs,0.93
1900,Apr-Jun,PD,Sarichs,5.19
1901,Apr-Jun,PD,Sarichs,0
1902,Apr-Jun,PD,Sarichs,9.95
1903,Apr-Jun,PD,Sarichs,4.8
1904,Apr-Jun,PD,Sarichs,5.96
1905,Apr-Jun,PD,Sarichs,30.75
1906,Apr-Jun,PD,Sarichs,3.21
1907,Apr-Jun,PD,Sarichs,19.06
1908,Apr-Jun,PD,Sarichs,5.87
1909,Apr-Jun,PD,Sarichs,33.99
1910,Apr-Jun,PD,Sarichs,17.24
1911,Apr-Jun,PD,Sarichs,2.48
1912,Apr-Jun,PD,Sarichs,23.58
1913,Apr-Jun,PD,Sarichs,12.21
1914,Apr-Jun,PD,Sarichs,0
1915,Apr-Jun,PD,Sarichs,0
1916,Apr-Jun,PD,Sarichs,16.83
1917,Apr-Jun,PD,Sarichs,23.13
1918,Apr-Jun,PD,Sarichs,10.08
1919,Apr-Jun,PD,Sarichs,5.81
1920,Apr-Jun,PD,Sarichs,18.07
1921,Apr-Jun,PD,Sarichs,2.28
1922,Apr-Jun,PD,Sarichs,1.46
1923,Apr-Jun,PD,Sarichs,9.07
1924,Apr-Jun,PD,Sarichs,10.85
1925,Apr-Jun,PD,Sarichs,0.99
1926,Apr-Jun,PD,Sarichs,6.44
1927,Apr-Jun,PD,Sarichs,11.66
1928,Apr-Jun,PD,Sarichs,14.96
1929,Apr-Jun,PD,Sarichs,8.61
1930,Apr-Jun,PD,Sarichs,3.33
1931,Apr-Jun,PD,Sarichs,3.35
1932,Apr-Jun,PD,Sarichs,2.48
1933,Apr-Jun,PD,Sarichs,9.35
1934,Apr-Jun,PD,Sarichs,0
1935,Apr-Jun,PD,Sarichs,20.31
1936,Apr-Jun,PD,Sarichs,6.87
1937,Apr-Jun,PD,Sarichs,5.93
1938,Apr-Jun,PD,Sarichs,8.43
1939,Apr-Jun,PD,Sarichs,21.21
1940,Apr-Jun,PD,Sarichs,18.65
1941,Apr-Jun,PD,Sarichs,8.87
1942,Apr-Jun,PD,Sarichs,21.21
1943,Apr-Jun,PD,Sarichs,10.59
1944,Apr-Jun,PD,Sarichs,4.43
1945,Apr-Jun,PD,Sarichs,20.26
1946,Apr-Jun,PD,Sarichs,9.42
1947,Apr-Jun,PD,Sarichs,1.54
1948,Apr-Jun,PD,Sarichs,9.25
1949,Apr-Jun,PD,Sarichs,21.19
1950,Apr-Jun,PD,Sarichs,16.86
1951,Apr-Jun,PD,Sarichs,4.37
1952,Apr-Jun,PD,Sarichs,7.89
1953,Apr-Jun,PD,Sarichs,26.55
1954,Apr-Jun,PD,Sarichs,31.89
1955,Apr-Jun,PD,Sarichs,6.68
1956,Apr-Jun,PD,Sarichs,2.74
1957,Apr-Jun,PD,Sarichs,26.6
1958,Apr-Jun,PD,Sarichs,7.63
1959,Apr-Jun,PD,Sarichs,19.61
1960,Apr-Jun,PD,Sarichs,6.27
1961,Apr-Jun,PD,Sarichs,6.81
1962,Apr-Jun,PD,Sarichs,29.69
1963,Apr-Jun,PD,Sarichs,4.13
1964,Apr-Jun,PD,Sarichs,0
1965,Apr-Jun,PD,Sarichs,1.54
1966,Apr-Jun,PD,Sarichs,0.05
1967,Apr-Jun,PD,Sarichs,7.99
1968,Apr-Jun,PD,Sarichs,1.35
1969,Apr-Jun,PD,Sarichs,5.15
1970,Apr-Jun,PD,Sarichs,9.53
1971,Apr-Jun,PD,Sarichs,14.38
1972,Apr-Jun,PD,Sarichs,4.18
1973,Apr-Jun,PD,Sarichs,28.81
1974,Apr-Jun,PD,Sarichs,7.49
1975,Apr-Jun,PD,Sarichs,27.02
1976,Apr-Jun,PD,Sarichs,30.21
1977,Apr-Jun,PD,Sarichs,6.53
1978,Apr-Jun,PD,Sarichs,30.56
1979,Apr-Jun,PD,Sarichs,6.55
1980,Apr-Jun,PD,Sarichs,8.97
1981,Apr-Jun,PD,Sarichs,2.54
1982,Apr-Jun,PD,Sarichs,2.01
1983,Apr-Jun,PD,Sarichs,0.68
1984,Apr-Jun,PD,Sarichs,8.48
1985,Apr-Jun,PD,Sarichs,2.49
1986,Apr-Jun,PD,Sarichs,0.06
1987,Apr-Jun,PD,Sarichs,5.02
1988,Apr-Jun,PD,Sarichs,7.33
1989,Apr-Jun,PD,Sarichs,11.88
1990,Apr-Jun,PD,Sarichs,24.64
1991,Apr-Jun,PD,Sarichs,0.14
1992,Apr-Jun,PD,Sarichs,0
1993,Apr-Jun,PD,Sarichs,1.84
1994,Apr-Jun,PD,Sarichs,0.52
1995,Apr-Jun,PD,Sarichs,2.1
1996,Apr-Jun,PD,Sarichs,6.26
1997,Apr-Jun,PD,Sarichs,0.87
1998,Apr-Jun,PD,Sarichs,13.24
1999,Apr-Jun,PD,Sarichs,11.74
2000,Apr-Jun,PD,Sarichs,11.34
2001,Apr-Jun,PD,Sarichs,1.47
2002,Apr-Jun,PD,Sarichs,2.16
2003,Apr-Jun,PD,Sarichs,0.31
2004,Apr-Jun,PD,Sarichs,0.05
2005,Apr-Jun,PD,Sarichs,0.81
2006,Apr-Jun,PD,Sarichs,5.46
2007,Apr-Jun,PD,Sarichs,8.78
2008,Apr-Jun,PD,Sarichs,13.59
2009,Apr-Jun,PD,Sarichs,21.64
2010,Apr-Jun,PD,Sarichs,23
2011,Apr-Jun,PD,Sarichs,19.68
2012,Apr-Jun,PD,Sarichs,24.61
2013,Apr-Jun,PD,Sarichs,10.6
2014,Apr-Jun,PD,Sarichs,1.94
2015,Apr-Jun,PD,Sarichs,2.53
2016,Apr-Jun,PD,Sarichs,11.61
2017,Apr-Jun,PD,Sarichs,4.41
2018,Apr-Jun,PD,Sarichs,11.04
1889,Jul-Sep,PD,Sarichs,2.93
1890,Jul-Sep,PD,Sarichs,7.81
1891,Jul-Sep,PD,Sarichs,17.97
1892,Jul-Sep,PD,Sarichs,0
1893,Jul-Sep,PD,Sarichs,3.39
1894,Jul-Sep,PD,Sarichs,21.26
1895,Jul-Sep,PD,Sarichs,1.17
1896,Jul-Sep,PD,Sarichs,5.02
1897,Jul-Sep,PD,Sarichs,0
1898,Jul-Sep,PD,Sarichs,6.09
1899,Jul-Sep,PD,Sarichs,1.67
1900,Jul-Sep,PD,Sarichs,0
1901,Jul-Sep,PD,Sarichs,0.14
1902,Jul-Sep,PD,Sarichs,0
1903,Jul-Sep,PD,Sarichs,2.22
1904,Jul-Sep,PD,Sarichs,0.08
1905,Jul-Sep,PD,Sarichs,0.26
1906,Jul-Sep,PD,Sarichs,7.19
1907,Jul-Sep,PD,Sarichs,1.65
1908,Jul-Sep,PD,Sarichs,4.93
1909,Jul-Sep,PD,Sarichs,0.08
1910,Jul-Sep,PD,Sarichs,6.59
1911,Jul-Sep,PD,Sarichs,3.46
1912,Jul-Sep,PD,Sarichs,5.51
1913,Jul-Sep,PD,Sarichs,7.1
1914,Jul-Sep,PD,Sarichs,5.41
1915,Jul-Sep,PD,Sarichs,0
1916,Jul-Sep,PD,Sarichs,1.08
1917,Jul-Sep,PD,Sarichs,6.1
1918,Jul-Sep,PD,Sarichs,4.12
1919,Jul-Sep,PD,Sarichs,4.3
1920,Jul-Sep,PD,Sarichs,3.75
1921,Jul-Sep,PD,Sarichs,6.33
1922,Jul-Sep,PD,Sarichs,2.06
1923,Jul-Sep,PD,Sarichs,0.56
1924,Jul-Sep,PD,Sarichs,3.41
1925,Jul-Sep,PD,Sarichs,1.6
1926,Jul-Sep,PD,Sarichs,0
1927,Jul-Sep,PD,Sarichs,0.57
1928,Jul-Sep,PD,Sarichs,4.34
1929,Jul-Sep,PD,Sarichs,4.28
1930,Jul-Sep,PD,Sarichs,7.85
1931,Jul-Sep,PD,Sarichs,0
1932,Jul-Sep,PD,Sarichs,0.02
1933,Jul-Sep,PD,Sarichs,5.18
1934,Jul-Sep,PD,Sarichs,0.34
1935,Jul-Sep,PD,Sarichs,0
1936,Jul-Sep,PD,Sarichs,9.4
1937,Jul-Sep,PD,Sarichs,0.65
1938,Jul-Sep,PD,Sarichs,2.58
1939,Jul-Sep,PD,Sarichs,1.75
1940,Jul-Sep,PD,Sarichs,8.92
1941,Jul-Sep,PD,Sarichs,9.85
1942,Jul-Sep,PD,Sarichs,7.56
1943,Jul-Sep,PD,Sarichs,8
1944,Jul-Sep,PD,Sarichs,1.56
1945,Jul-Sep,PD,Sarichs,0.56
1946,Jul-Sep,PD,Sarichs,1.62
1947,Jul-Sep,PD,Sarichs,2.02
1948,Jul-Sep,PD,Sarichs,0
1949,Jul-Sep,PD,Sarichs,1.21
1950,Jul-Sep,PD,Sarichs,24.48
1951,Jul-Sep,PD,Sarichs,2.47
1952,Jul-Sep,PD,Sarichs,1.64
1953,Jul-Sep,PD,Sarichs,0.34
1954,Jul-Sep,PD,Sarichs,7.05
1955,Jul-Sep,PD,Sarichs,12.78
1956,Jul-Sep,PD,Sarichs,14.87
1957,Jul-Sep,PD,Sarichs,1.02
1958,Jul-Sep,PD,Sarichs,8.47
1959,Jul-Sep,PD,Sarichs,0.43
1960,Jul-Sep,PD,Sarichs,1.78
1961,Jul-Sep,PD,Sarichs,0.3
1962,Jul-Sep,PD,Sarichs,0.36
1963,Jul-Sep,PD,Sarichs,9.27
1964,Jul-Sep,PD,Sarichs,2.13
1965,Jul-Sep,PD,Sarichs,0
1966,Jul-Sep,PD,Sarichs,0
